company_id,name,cin,bse_code,nse_symbol,sector,product_category,cohort,tier_role,event_valid,signal_valid,backtest_valid,graph_valid,abandoned_reason,notes,industry_group,distress_mechanism,ageing_basis,has_not_due_column,msme_book_material,msme_pct_of_trade_payables,signal_path,matched_to,role_history,data_source,entity_status
RICO_C,Rico Auto Industries Limited,L34300HR1983PLC023187,520008,RICOAUTO,auto_components,"aluminium and ferrous castings, machined components",control,tier1,true,true,true,false,,"CONTROL, matched to SETCO. Non-distress confirmed: Crisil reaffirmed Crisil A/Stable and Crisil A1 on 02-Dec-2025. Reported in Rs CRORE. THIRD ageing-granularity variant: Rico splits the under-1-year bucket into 'less than 6 months' and '6 months to 1 year'. These are SUMMED into msme_under_1yr / the non-MSME equivalent here. DISCREPANCY: balance-sheet Note 22 shows MSME payables of Rs 17.84 cr at FY23 while the ageing table shows Rs 18.90 cr; the ageing-table figure is used. Note 22 lists 'Due to related parties' as a separate line, which the ageing table appears to fold into Others. MSE overdue share rose modestly, 26.2% to 32.8%.",automotive,not_applicable,due_date,true,true,6.77,quiet_as_expected,SETCO,,real,listed_india
PRECAM_C,Precision Camshafts Limited,L24231PN1992PLC067126,539636,PRECAM,auto_components,camshafts and precision machined components,control,tier1,true,true,true,true,,"CONTROL, matched to SETCO. Non-distress confirmed: CARE reaffirmed CARE A; Stable / CARE A1 on 28-Oct-2024. Reported in Rs LAKHS. Has both Unbilled and Not Due columns. Behaves exactly as a control should: MSME overdue share FELL from 3.1% to 1.8% and total trade payables fell 11%. Named OEM customers from the rating rationale: Ford, General Motors, Bosch, Hyundai, Maruti Suzuki, Tata Motors, Mahindra.",automotive,not_applicable,due_date,true,true,14.56,quiet_as_expected,SETCO,,real,listed_india
NEULAND_C,Neuland Laboratories Limited,,524558,NEULANDLAB,pharmaceuticals,APIs and custom manufacturing solutions,control,tier1,true,true,true,false,,"CONTROL, matched to NECTAR (both API manufacturers; revenue Rs 1,559 cr vs Nectar's Rs 1,684 cr in FY24). Non-distress confirmed: Crisil UPGRADED the long-term rating to Crisil A+/Stable from Crisil A/Stable on 27-03-2024. Reported in Rs LAKHS. Behaves as a control should: MSME payables 100% Not Due in BOTH years (zero overdue), MSMED interest accrued and unpaid FELL 76% (Rs 1.11 cr to Rs 0.27 cr), and non-MSME overdue share fell from 58.6% to 32.7%. Discloses 'Payments made beyond the appointed date during the year' as its own line - nil in both years. REPORT TYPO: the FY24 ageing table prints Others total 18,874.47 lakh and a grand total of 19,858.88 lakh, but its own components sum to 18,879.47 and 19,853.88, which match Note 17. The component-derived figures are used here. msme_pct 4.91% is just below the 5% materiality threshold - a borderline case.",pharma,not_applicable,due_date,true,false,4.91,quiet_as_expected,NECTAR,,real,listed_india
DHANUKA_C,Dhanuka Agritech Limited,,507717,DHANUKA,agrochemicals,agrochemical formulations,control,tier0,true,true,true,false,,"CONTROL, matched to BESTAGRO (both agrochemical formulators; revenue Rs 1,758.54 cr vs Best Agrolife's Rs 1,798.36 cr in FY24 - a near-exact size match). Non-distress confirmed: CARE assigned CARE AA; Stable on 17-07-2024. Reported in Rs LACS. Ages from DATE OF TRANSACTION and has no Not Due column - the SAME conventions as its matched distress company, which makes the pair directly comparable. This is the strongest argument for industry-matching. Behaves as a control should: total trade payables FELL 15% while revenue rose 3.4%, so payables/revenue fell from 10.3% to 8.5%; non-MSME aged buckets essentially flat (1-2yr Rs 0.27 cr to Rs 0.29 cr). MSMED Note 41 extracted: interest accrued and remaining unpaid is FLAT at Rs 0.14 cr in both years, and all payment-delay lines are nil. NOTE: Note 41 principal (Rs 581.58 / 421.24 lacs) differs slightly from Note 18 trade payables MSME (Rs 595.23 / 434.89 lacs); both are recorded as printed. || TIER: Anchor/end-producer: agrochemical formulator selling through a distributor network.",chemicals,not_applicable,transaction_date,false,false,3.98,quiet_as_expected,BESTAGRO,,real,listed_india
BALRAMPUR_C,Balrampur Chini Mills Limited,,500038,BALRAMCHIN,sugar,"sugar, ethanol/distillery, power co-generation",control,tier0,true,true,true,false,,"CONTROL, matched to BHS (both large UP-based sugar millers). Non-distress: profitable and growing throughout the window - PBT rose from Rs 396.97 cr (FY23) to Rs 610.19 cr (FY24) - with no rating downgrade, no default and no going-concern qualification. Reported in Rs LAKHS. MSME payables 100% Not Due in BOTH years; every MSMED payment-delay line nil. THE STRONGEST SINGLE DISCRIMINATOR IN THE DATASET: trade payables are 5.0% of revenue (FY24) against Bajaj Hindusthan's 59.0%, on comparable revenue scale (Rs 5,594 cr vs Rs 6,077 cr). This REFINES the sugar caveat: a healthy sugar mill carries almost no trade payables because it pays cane dues promptly, whereas the distressed one carries Rs 3,541 cr in its under-1-year bucket AND a further Rs 2,361 cr of cane dues in an escrow account under other payables. Cane arrears show up in BOTH places for a stressed miller. || TIER: Anchor/end-producer: buys sugarcane from farmers, sells sugar/ethanol/power.",food_agri,not_applicable,due_date,true,false,2.82,quiet_as_expected,BHS,,real,listed_india
HERO,Hero MotoCorp Limited,,500182,HEROMOTOCO,two_wheeler_oem,motorcycles and scooters,counterparty,tier0,,false,false,true,,COUNTERPARTY (graph anchor). Identity row only - no financial extraction performed this session. Anchor. Buyer in the SHIVAM edge (~40% of Shivam FY25 revenue per CARE).,automotive,not_applicable,,,,,not_researched,,,real,listed_india
TATAMOTORS,Tata Motors Limited,,500570,TATAMOTORS,cv_and_pv_oem,commercial and passenger vehicles,counterparty,tier0,,false,false,true,,"COUNTERPARTY (graph anchor). Identity row only - no financial extraction performed this session. Anchor. IDENTITY CAUTION: BSE scrip 500570 now returns ""TATA MOTORS PASSENGER VEHICLES LIMITED"" following the CV/PV demerger. Edges reference ""Tata Motors Limited"" as disclosed at the time; do not assume the scrip code maps cleanly to the pre-demerger entity.",automotive,not_applicable,,,,,not_researched,,,real,listed_india
ASHOKLEY,Ashok Leyland Limited,,500477,ASHOKLEY,cv_oem,commercial vehicles,counterparty,tier0,,false,false,true,,COUNTERPARTY (graph anchor). Identity row only - no financial extraction performed this session. Anchor. Named in Setco awards page and Lokesh rating rationale.,automotive,not_applicable,,,,,not_researched,,,real,listed_india
MAHINDRA,Mahindra & Mahindra Limited,,500520,M&M,cv_pv_tractor_oem,vehicles and tractors,counterparty,tier0,,false,false,true,,COUNTERPARTY (graph anchor). Identity row only - no financial extraction performed this session. Anchor. Named in Lokesh MD&A; the relationship was suspended after OFAC sanctions.,automotive,not_applicable,,,,,not_researched,,,real,listed_india
EICHER,Eicher Motors Limited,,505200,EICHERMOT,cv_and_two_wheeler_oem,commercial vehicles and motorcycles,counterparty,tier0,,false,false,true,,COUNTERPARTY (graph anchor). Identity row only - no financial extraction performed this session. Anchor. Named in the Setco ICRA rationale.,automotive,not_applicable,,,,,not_researched,,,real,listed_india
KIRLOSKAROIL,Kirloskar Oil Engines Limited,,533293,KIRLOSENG,engine_oem,diesel engines and gensets,counterparty,tier0,,false,false,true,,COUNTERPARTY (graph anchor). Identity row only - no financial extraction performed this session. Anchor. Named in the Lokesh CARE rationale.,industrial_machinery,not_applicable,,,,,not_researched,,,real,listed_india
INTLTRACTORS,International Tractors Limited (Sonalika),,,,tractor_oem,tractors,counterparty,tier0,,false,false,true,,"COUNTERPARTY (graph anchor). Identity row only - no financial extraction performed this session. Anchor. Named in the Lokesh CARE rationale. Unlisted, so no BSE code and no annual report route.",automotive,not_applicable,,,,,not_researched,,,real,unlisted_india
DEERE,Deere & Company,,,,agricultural_equipment_oem,agricultural and construction equipment,counterparty,tier0,,false,false,true,,COUNTERPARTY (graph anchor). Identity row only - no financial extraction performed this session. Anchor. ~28% of Bharat Gears FY23 turnover per CARE. US-listed; not reachable via the BSE route.,automotive,not_applicable,,,,,not_researched,,,real,foreign_listed
HILTI,Hilti,,,,power_tools_oem,construction power tools and fasteners,counterparty,tier0,,false,false,true,,COUNTERPARTY (graph anchor). Identity row only - no financial extraction performed this session. Anchor. Named in the Shivam FY25 MD&A as a newly developed customer. Privately held (Liechtenstein).,industrial_machinery,not_applicable,,,,,not_researched,,,real,foreign_private
MANDO,Mando (HL Mando),,,,tier1_supplier,braking and steering systems,counterparty,tier1,,false,false,true,,"COUNTERPARTY (graph anchor). Identity row only - no financial extraction performed this session. Named in the Shivam FY25 MD&A as a newly developed customer. Itself a tier-1 supplier, so Shivam sits at tier-2 relative to it.",automotive,not_applicable,,,,,not_researched,,,real,foreign_listed
GSK,GlaxoSmithKline Services Unlimited,,,,pharma_brand_owner,pharmaceutical formulations,counterparty,tier0,,false,false,true,,COUNTERPARTY (graph anchor). Identity row only - no financial extraction performed this session. Anchor. Named in the Nectar CARE rationale as its largest export customer.,pharma,not_applicable,,,,,not_researched,,,real,foreign_private
BLUSMART,BluSmart Mobility,,,,ev_fleet_operator,electric ride-hailing fleet,counterparty,tier0,,false,false,true,,COUNTERPARTY (graph anchor). Identity row only - no financial extraction performed this session. Counterparty in the Gensol EV leasing relationship. Privately held; itself subsequently distressed.,energy_infrastructure,not_applicable,,,,,not_researched,,,real,unlisted_india
LAVACAST,Lava Cast Private Limited,,,,foundry,iron castings,counterparty,tier2,,false,false,true,,COUNTERPARTY (graph anchor). Identity row only - no financial extraction performed this session. SUPPLIER to Setco and its Indian subsidiary. Carries its own going-concern material uncertainty in the Setco FY25 consolidated audit report. The only confirmed inbound supplier edge in the dataset.,automotive,not_applicable,,,,,not_researched,,,real,unlisted_india
