edge_id,from_company,to_company,from_company_id,to_company_id,relationship_type,direction_normalised,confidence,evidence_source,fy,component,weight_pct,weight_amount_cr,annual_value_cr,value_basis,is_single_source,single_source_evidence,data_source,source_url,notes
E011,LOKESH,International Tractors Limited,LOKESH,INTLTRACTORS,supplies_to,supplier_to_buyer,probable,press,FY2024,cnc_machines_and_machined_components,,,,not_available,,,real,https://www.careratings.com/upload/CompanyFiles/PR/202502120211_Lokesh_Machines_Limited.pdf,
E012,SETCO,Ashok Leyland Limited,SETCO,ASHOKLEY,supplies_to,supplier_to_buyer,confirmed,awards_page,FY2025,clutches_mhcv,,,,not_available,,,real,"""user-supplied PDF: Setco Automotive Annual Report 2024-25 p.8 (""""4th Rank amongst 164 suppliers in Supplier SAMRAT competition for west zone by M/s. Ashok Leyland"""")""",
E013,SETCO,Tata Motors Limited,SETCO,TATAMOTORS,supplies_to,supplier_to_buyer,confirmed,awards_page,FY2025,clutches_mhcv,,,,not_available,,,real,"""user-supplied PDF: Setco Automotive Annual Report 2024-25 p.8 (""""Non vehicle business Excellence Award for Setco Auto Systems from Tata Motors at Supplier Conference"""")""","ENTITY RESOLUTION (2026-09-09): Setco supplies clutches for medium and heavy COMMERCIAL vehicles, so the counterparty is the commercial-vehicle business. For FY2025 (this edge fy) that business sat inside the undivided Tata Motors Limited, scrip 500570 = TATAMOTORS, which is what to_company_id points to and is correct for this period. After the FY2025-26 demerger the CV business is TATAMOTORS_CV (scrip 544569, ticker TMCV). Any edge dated FY2026 or later must point to TATAMOTORS_CV, NOT to scrip 500570, which is now the passenger-vehicle company."
E014,SETCO,Eicher Motors Limited,SETCO,EICHER,supplies_to,supplier_to_buyer,probable,press,FY2024,clutches_mhcv,,,,not_available,,,real,https://www.icra.in/Rating/GetRationalReportFilePdf?id=127593,
E015,SETCO,Sonalika Tractors,SETCO,INTLTRACTORS,supplies_to,supplier_to_buyer,probable,press,FY2024,clutches_tractor,,,,not_available,,,real,https://www.icra.in/Rating/GetRationalReportFilePdf?id=127593,
E016,SETCO,Lava Cast Private Limited,LAVACAST,SETCO,supplied_by,supplier_to_buyer,confirmed,related_party,FY2025,iron_castings,,,,not_available,,,real,user-supplied PDF: Setco Automotive Annual Report 2024-25 (Indian subsidiary; castings supplier; going-concern material uncertainty),
E017,AUTOIND,Tata Motors Limited,AUTOIND,TATAMOTORS,supplies_to,supplier_to_buyer,probable,press,FY2024,sheet_metal_assemblies,,,,not_available,,,real,https://infomericstorage.blob.core.windows.net/uploads/pr_Autoline_Industries_10sep24_76494b643f.pdf,ENTITY RESOLUTION (2026-09-09): sheet-metal assemblies are supplied to both vehicle lines; the FY2024 counterparty is the undivided Tata Motors Limited (scrip 500570). Which post-demerger entity inherits this relationship is NOT established - do not assign it to TATAMOTORS_CV or TMPV without evidence.
E018,BGL,Deere & Company (John Deere group),BGL,DEERE,supplies_to,supplier_to_buyer,concentration_only,press,FY2023,gears,28,,214.58,rating_agency_stated_pct,,,real,https://www.careratings.com/upload/CompanyFiles/PR/202310131032_Bharat_Gears_Limited.pdf,
E019,GENSOL,BluSmart Mobility,GENSOL,BLUSMART,supplies_to,supplier_to_buyer,probable,press,FY2024,electric_vehicles_leased,,,,not_available,,,real,https://www.careratings.com/upload/CompanyFiles/PR/202503140312_Gensol_Engineering_Limited.pdf,
E020,NECTAR,GlaxoSmithKline Services Unlimited,NECTAR,GSK,supplies_to,supplier_to_buyer,probable,press,FY2024,cephalosporin_api,,,,not_available,,,real,https://www.careratings.com/upload/CompanyFiles/PR/202507120711_Nectar_Lifesciences_Limited.pdf,
E021,NECTAR,unnamed top-5 customers,NECTAR,,concentration_disclosure_unnamed,not_applicable,concentration_only,press,FY2024,unknown,23,,,not_available,,,real,https://www.careratings.com/upload/CompanyFiles/PR/202507120711_Nectar_Lifesciences_Limited.pdf,"Not a graph edge: the source discloses a customer concentration percentage without naming the counterparty, so there is no resolvable to_company_id. Retained because the percentage is real and usable for flow-share sanity checks. Known, intentional deviation from the ""every to_company_id resolves"" check."
E022,Rico Jinfei Wheels Limited,Rico Auto Industries Limited,RICOJINFEI,RICO_C,supplies_to,supplier_to_buyer,confirmed,related_party_note,FY2024,wheels_and_castings,,,3.63,disclosed_amount_related_party_note,,,real,https://www.bseindia.com/xml-data/corpfiling/AttachHis/5b4a13b9-f698-4227-ab81-9ce3199ea748.pdf,"Rico Auto Industries FY2024 standalone related-party note, transactions table: ""Purchase of raw material 3.63 9.82"". RELATED PARTY - disclosed because Ind AS 24 requires it, not because deep-tier relationships are generally public. is_single_source deliberately left empty: the note says nothing about sole sourcing."
E023,AAN Engineering Industries Limited,Rico Auto Industries Limited,AANENG,RICO_C,supplies_to,supplier_to_buyer,confirmed,related_party_note,FY2024,goods_and_job_work,,,14.41,disclosed_amount_related_party_note,,,real,https://www.bseindia.com/xml-data/corpfiling/AttachHis/5b4a13b9-f698-4227-ab81-9ce3199ea748.pdf,"Rico Auto Industries FY2024 standalone related-party note, transactions table: ""Purchase of goods including job work 14.41 20.13"". RELATED PARTY - disclosed because Ind AS 24 requires it, not because deep-tier relationships are generally public. is_single_source deliberately left empty: the note says nothing about sole sourcing."
E024,Rico Fluidtronics Limited,Rico Auto Industries Limited,RICOFLUID,RICO_C,supplies_to,supplier_to_buyer,confirmed,related_party_note,FY2024,components,,,0.78,disclosed_amount_related_party_note,,,real,https://www.bseindia.com/xml-data/corpfiling/AttachHis/5b4a13b9-f698-4227-ab81-9ce3199ea748.pdf,"Rico Auto Industries FY2024 standalone related-party note, transactions table: ""Purchase of goods 0.78 0.71"". RELATED PARTY - disclosed because Ind AS 24 requires it, not because deep-tier relationships are generally public. is_single_source deliberately left empty: the note says nothing about sole sourcing."
E025,Rico Friction Technologies Private Limited,Rico Auto Industries Limited,RICOFRICTION,RICO_C,supplies_to,supplier_to_buyer,confirmed,related_party_note,FY2024,friction_components,,,5.39,disclosed_amount_related_party_note,,,real,https://www.bseindia.com/xml-data/corpfiling/AttachHis/5b4a13b9-f698-4227-ab81-9ce3199ea748.pdf,"Rico Auto Industries FY2024 standalone related-party note, transactions table: ""Purchase of goods 5.39 5.06"". RELATED PARTY - disclosed because Ind AS 24 requires it, not because deep-tier relationships are generally public. is_single_source deliberately left empty: the note says nothing about sole sourcing."
E026,Kapbros Engineering Industries Limited,Rico Auto Industries Limited,KAPBROS,RICO_C,supplies_to,supplier_to_buyer,confirmed,related_party_note,FY2024,raw_material,,,5.51,disclosed_amount_related_party_note,,,real,https://www.bseindia.com/xml-data/corpfiling/AttachHis/5b4a13b9-f698-4227-ab81-9ce3199ea748.pdf,"Rico Auto Industries FY2024 standalone related-party note, transactions table: ""Purchase of raw material 5.51 27.13"". RELATED PARTY - disclosed because Ind AS 24 requires it, not because deep-tier relationships are generally public. is_single_source deliberately left empty: the note says nothing about sole sourcing."
E027,ASN Manufacturing and Services Private Limited,Rico Auto Industries Limited,ASNMFG,RICO_C,supplies_to,supplier_to_buyer,confirmed,related_party_note,FY2024,goods,,,17.9,disclosed_amount_related_party_note,,,real,https://www.bseindia.com/xml-data/corpfiling/AttachHis/5b4a13b9-f698-4227-ab81-9ce3199ea748.pdf,"Rico Auto Industries FY2024 standalone related-party note, transactions table: ""Purchase of goods 17.90 3.99"". RELATED PARTY - disclosed because Ind AS 24 requires it, not because deep-tier relationships are generally public. is_single_source deliberately left empty: the note says nothing about sole sourcing."
E028,Magpie Manufacturing and Tech Private Limited,Rico Auto Industries Limited,MAGPIEMFG,RICO_C,supplies_to,supplier_to_buyer,confirmed,related_party_note,FY2023,raw_material,,,7.65,disclosed_amount_related_party_note,,,real,https://www.bseindia.com/xml-data/corpfiling/AttachHis/5b4a13b9-f698-4227-ab81-9ce3199ea748.pdf,"Rico Auto Industries FY2024 standalone related-party note, transactions table: ""Purchase of raw material - 7.65 (nil in FY2024)"". RELATED PARTY - disclosed because Ind AS 24 requires it, not because deep-tier relationships are generally public. is_single_source deliberately left empty: the note says nothing about sole sourcing."
E029,Helical Spring (Unit of T.K. Precision Private Limited),Rico Auto Industries Limited,HELICALSPRING,RICO_C,supplies_to,supplier_to_buyer,confirmed,related_party_note,FY2024,springs_raw_material,,,6.23,disclosed_amount_related_party_note,,,real,https://www.bseindia.com/xml-data/corpfiling/AttachHis/5b4a13b9-f698-4227-ab81-9ce3199ea748.pdf,"Rico Auto Industries FY2024 standalone related-party note, transactions table: ""Purchase of raw material 6.23 6.47"". RELATED PARTY - disclosed because Ind AS 24 requires it, not because deep-tier relationships are generally public. is_single_source deliberately left empty: the note says nothing about sole sourcing."
E030,Munjal Showa Limited,Shivam Autotech Limited,MUNJALSHOWA,SHIVAM,supplies_to,supplier_to_buyer,confirmed,related_party_note,FY2025,goods_and_services,,,3.34,disclosed_amount_related_party_note,,,real,"user-supplied PDF: Shivam Autotech Limited Annual Report 2024-25, note 35 Related Party Disclosures, p.121-122","Shivam Autotech FY2025 related-party note, transactions table (Rs in Lakhs): ""Purchase of goods and services - Munjal Showa Limited 334.14 (FY2024 52.72)"". RELATED PARTY - disclosed under Ind AS 24, not evidence that arm's-length deep-tier links are public. is_single_source left empty: the note makes no sole-sourcing statement."
E031,Pushti Metal Industries LLP,Shivam Autotech Limited,PUSHTIMETAL,SHIVAM,supplies_to,supplier_to_buyer,confirmed,related_party_note,FY2025,metal_inputs,,,4.78,disclosed_amount_related_party_note,,,real,"user-supplied PDF: Shivam Autotech Limited Annual Report 2024-25, note 35 Related Party Disclosures, p.121-122","Shivam Autotech FY2025 related-party note, transactions table (Rs in Lakhs): ""Purchase of goods and services - Pushti Metal Industries LLP 477.62 (FY2024 532.25)"". RELATED PARTY - disclosed under Ind AS 24, not evidence that arm's-length deep-tier links are public. is_single_source left empty: the note makes no sole-sourcing statement."
E032,Earthly Possessions,Shivam Autotech Limited,EARTHLYPOSS,SHIVAM,supplies_to,supplier_to_buyer,confirmed,related_party_note,FY2025,goods_and_services,,,5.88,disclosed_amount_related_party_note,,,real,"user-supplied PDF: Shivam Autotech Limited Annual Report 2024-25, note 35 Related Party Disclosures, p.121-122","Shivam Autotech FY2025 related-party note, transactions table (Rs in Lakhs): ""Purchase of goods and services - Earthly Possessions 587.89 (FY2024 607.81)"". RELATED PARTY - disclosed under Ind AS 24, not evidence that arm's-length deep-tier links are public. is_single_source left empty: the note makes no sole-sourcing statement."
E033,Shivam Autotech Limited,Munjal Showa Limited,SHIVAM,MUNJALSHOWA,supplies_to,supplier_to_buyer,confirmed,related_party_note,FY2025,goods_and_services,,,10.72,disclosed_amount_related_party_note,,,real,"user-supplied PDF: Shivam Autotech Limited Annual Report 2024-25, note 35 Related Party Disclosures, p.121-122","Shivam Autotech FY2025 related-party note, transactions table (Rs in Lakhs): ""Sale of Goods & Services - Munjal Showa Limited 1,071.79 (FY2024 793.43). Munjal Showa is BOTH a customer and a supplier of Shivam in the same note."". RELATED PARTY - disclosed under Ind AS 24, not evidence that arm's-length deep-tier links are public. is_single_source left empty: the note makes no sole-sourcing statement."
E034,Cams Technology Limited,Precision Camshafts Limited,CAMSTECH,PRECAM_C,supplies_to,supplier_to_buyer,confirmed,related_party_note,FY2025,goods_material_services,,,0.73,disclosed_amount_related_party_note,,,real,https://www.bseindia.com/xml-data/corpfiling/AttachHis/3ca768ed-df7e-4723-b761-0c3994f964f5.pdf,"Precision Camshafts FY2025 standalone related-party note: ""Purchases of goods, material or services - Cams Technology Limited, Entities where KMP / RKMP, 72.72 (FY2024 71.29)"" [Rs in Lakhs]. RELATED PARTY. Its subsidiary purchases (Memco Engineering 4.67, Emoss Mobile Systems 2.55) are deliberately NOT recorded as edges - they are intra-group transfers already inside the consolidated numbers. is_single_source left empty."
E035,Jai Ambe Enterprises,Autoline Industries Limited,JAIAMBE,AUTOIND,supplies_to,supplier_to_buyer,confirmed,related_party_note,FY2025,goods_service,,,0.29,disclosed_amount_related_party_note,,,real,https://www.bseindia.com/xml-data/corpfiling/AttachHis/de1a8ba7-fa8d-4f4c-a1f4-fd804acc7838.pdf,"Autoline Industries FY2025 standalone related-party note: ""Purchase of Goods / Service - Jai Ambe Enterprises 29.31 (prior year 30.41), closing balance 11.67 (15.42)"" [Rs in Lakh]. RELATED PARTY. Group service companies Autoline Design Software Ltd (6.00) and Autoline Industrial Parks Ltd (3.00) are NOT recorded as supply edges - intra-group services, not production inputs. Shreeja Enterprises shows a closing balance but no transaction value, so no edge. is_single_source left empty."
E036,19 unnamed vendors,Lava Cast Private Limited,,LAVACAST,supplier_dispute_unnamed,supplier_to_buyer,concentration_only,contingent_liability_note,FY2023,unspecified,,,0.94,disclosed_amount_contingent_liability,,,real,https://www.bseindia.com/xml-data/corpfiling/AttachHis/c59d3d42-8c0b-4142-b7d5-942515990530.pdf,"Setco Automotive FY2023 consolidated contingent-liability note: ""The Lava Cast Private Limited has received legal notices from 19 vendors for recovery of their outstanding overdues of Rs. 94.41 Lakhs along with interest."" NOT RESOLVABLE: the 19 vendors are unnamed, so this is a COUNT of stressed suppliers, not 19 edges. from_company_id deliberately empty, matching the existing unnamed-concentration convention (E008, E021). Directly corroborates payment stress at a deep-tier node."
E037,Clip-Lok Simpak (India) Private Limited,Bharat Gears Limited,CLIPLOK,BGL,supplies_to,supplier_to_buyer,confirmed,related_party_note,FY2025,packing_material,,,0.30,disclosed_amount_related_party_note,,,real,https://www.bseindia.com/xml-data/corpfiling/AttachHis/84234da9-387a-49e7-9fbd-e430a243ec22.pdf,"Bharat Gears FY2025 note 36 related-party transactions: ""Clip-Lok Simpak (India) Private Limited - Purchase of packing material 30.40 (FY2024 42.98)"" [Rs in Lakhs]. RELATED PARTY (enterprise over which KMP exercises significant influence). Packing material, not a production input. is_single_source left empty."
