company_id,fy,report_url,report_filing_date,source_page,msme_unbilled,msme_not_due,msme_under_1yr,msme_1_2yr,msme_2_3yr,msme_over_3yr,msme_total,nonmsme_total,disputed_total,total_trade_payables,msmed_principal_unpaid_year_end,msmed_interest_due_unpaid,msmed_principal_paid_beyond_appointed_day,msmed_interest_paid_u_s16,msmed_interest_accrued_unpaid,revenue_standalone,revenue_consolidated,cost_of_materials_consumed,trade_payables_turnover_ratio,units_as_reported,has_not_due_column,basis,msmed_interest_due_on_payments_made_beyond_appointed_day,ageing_basis,cash_and_cash_equivalents_cr,bank_balances_other_cr,current_investments_cr,total_expenses_cr,depreciation_amortisation_cr,finance_costs_cr,cash_buffer_days,cash_components_basis,purchases_stock_in_trade_cr,cost_base_type,msmed_interest_lines_disclosed,msmed_note_format,msmed_note_verbatim,undrawn_credit_facilities_cr,undrawn_source,plausibility_flags,total_expenses_includes_dep_fin
GENSOL,FY2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis/cf949692-2280-4ee7-ba6f-30d1961f1ad5.pdf,2024-09-07,FY2024 report comparative column (Ind AS restated): p104 P&L; p103 BS; p105 CF. Own FY2023 report is image-only (no text layer) and pre-Ind-AS.,,,2.57,0.00,nil,nil,2.57,30.35,nil,32.92,2.57,nil,,nil,nil,371.0,,23.97,11.70,crore,false,standalone,0.02,due_date,124.79,160.46,nil,344.31,25.03,22.89,351,current_investments_absent_treated_nil,201.65,materials_plus_purchases,,,,,"no undrawn limit disclosed. CARE press release 03-Mar-2025 (downgraded CARE BB+; Stable to CARE D): ""GEL liquidity remains poor as reflected by the ongoing delay in the debt servicing."" No unutilised limits stated despite a reported 351-day cash buffer in FY2023.",,true
GENSOL,FY2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/cf949692-2280-4ee7-ba6f-30d1961f1ad5.pdf,2024-09-07,p104 standalone P&L; p103 BS (3-column: FY24/FY23/1-Apr-2022 Ind AS transition); p105 CF (BSE AR 2024),,,2.00,0.17,nil,0.04,2.21,76.23,nil,78.44,2.21,,,nil,nil,904.01,,93.07,10.75,crore,false,standalone,0.05,due_date,163.58,160.64,nil,836.39,72.44,100.6,178,current_investments_absent_treated_nil,504.43,materials_plus_purchases,,,,,"no undrawn limit disclosed. CARE press release 03-Mar-2025 (downgraded CARE BB+; Stable to CARE D): ""GEL liquidity remains poor as reflected by the ongoing delay in the debt servicing."" No unutilised limits stated despite a reported 351-day cash buffer in FY2023.",,true
BESTAGRO,FY2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis/7191a59b-9e00-4c77-96f0-eb9e8f307cc3.pdf,2023-09-04,p115 standalone P&L; p114 BS; p116 CF (BSE AR 2023). P&L stated in lakhs.,,,0.14,nil,nil,nil,0.14,224.10,nil,224.24,0.14,nil,,nil,nil,1499.96,,,,lakh,false,standalone,nil,transaction_date,57.69,25.17,nil,1443.04,5.16,23.96,21,current_investments_absent_treated_nil,1408.12,purchases_only,5,five_line_appointed_day_caption_embedded_in_s16_line,"46. DUES TO MICRO, SMALL AND MEDIUM ENTERPRISES AS DEFINED UNDER THE MSMED ACT, 2006. The principal amount and the interest due thereon remaining unpaid to any supplier as at the end of each accounting year: - Principal amount due to micro and small enterprises 1.38; - Interest due on above - | The amount of interest paid by the buyer in terms of Section 16 of the MSMED Act along with the amounts of the payment made to the supplier beyond the appointed day during each accounting year - | The amount of interest due and payable for the period of delay in making payment (which have been paid but beyond the appointed day during the year) but without adding the interest specified under MSMED Act - | The amount of interest accrued and remaining unpaid at the end of each accounting year - | The amount of further interest remaining due and payable even in the succeeding years -",,,,true
BESTAGRO,FY2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/7191a59b-9e00-4c77-96f0-eb9e8f307cc3.pdf,2024-09-06,p142 standalone P&L; p141 BS; p143 CF (BSE AR 2024). This report is stated in MILLIONS; the FY2023 report was in LAKHS.,,,0.15,nil,nil,nil,0.15,361.45,nil,361.60,0.15,nil,,nil,nil,1798.36,,,,million,false,standalone,nil,transaction_date,15.26,10.5,nil,1785.56,6.7,43.0,5,current_investments_absent_treated_nil,1641.37,purchases_only,5,five_line_appointed_day_caption_embedded_in_s16_line,"46. DUES TO MICRO, SMALL AND MEDIUM ENTERPRISES AS DEFINED UNDER THE MSMED ACT, 2006. The principal amount and the interest due thereon remaining unpaid to any supplier as at the end of each accounting year: - Principal amount due to micro and small enterprises 1.46; - Interest due on above - | The amount of interest paid by the buyer in terms of Section 16 of the MSMED Act along with the amounts of the payment made to the supplier beyond the appointed day during each accounting year - | The amount of interest due and payable for the period of delay in making payment (which have been paid but beyond the appointed day during the year) but without adding the interest specified under MSMED Act - | The amount of interest accrued and remaining unpaid at the end of each accounting year - | The amount of further interest remaining due and payable even in the succeeding years -",,,,true
BHS,FY2022,https://www.bseindia.com/xml-data/corpfiling/AttachHis/bda90a72-91e2-4750-9ad2-7bd17c061b7b.pdf,2022-08-26,p141 P&L; p140 BS; p142 CF; note 10 p156 (BSE AR 2022),,,0.28,nil,nil,nil,0.28,4091.97,nil,4092.25,,,,,,5569.09,,4609.93,,crore,false,standalone,nil,due_date,47.33,nil,770.13,5812.58,214.63,253.55,3,current_investments_disclosed_770.13_EXCLUDED_from_buffer_unquoted_equity_in_Lalitpur_Power_pledged_against_loans_note_10,,materials_consumed,,,,,"no undrawn limit disclosed. CARE press release 29-Mar-2025 (downgraded to CARE D): ""The liquidity position of the company remains stretched with free cash and bank balance to the tune of Rs 56.28 crore as on September 30, 2024"" and BHSL ""is expected to default on its Rs 268 crore OCD instalment"". No unutilised working-capital limits are stated.",CURRENT_INV_ILLIQUID_EXCLUDED,true
BHS,FY2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis/bda90a72-91e2-4750-9ad2-7bd17c061b7b.pdf,2023-06-10,"p169 P&L; p168 BS; p170 CF (BSE AR 2023). FY22 current investments 770.13 reclassified out of current assets in this report (FY22 total current assets restated 6,558.76 -> 5,788.63)",,,0.10,nil,nil,nil,0.10,4508.13,nil,4508.23,0.10,nil,nil,nil,nil,6302.32,,5074.48,1.29,crore,false,standalone,nil,due_date,21.31,nil,nil,6470.68,213.17,210.1,1,current_investments_absent_treated_nil,,materials_consumed,6,six_line_standalone_beyond_appointed_day_caption_value_nil,"The details of amount outstanding to Micro and Small Enterprises based on available information with the company are as under: The amounts remaining unpaid to micro and small suppliers as at the end of the year - Principal 0.10; - Interest - | The amount of interest paid by the buyer as per the MSMED Act, 2006 - | The amounts of the payments made to micro and small suppliers beyond the appointed day during each accounting year - | The amount of interest due and payable for the year of delay in making payment (which have been paid but beyond the appointed day during the year) but without adding the interest specified under MSMED Act, 2006 - | The amount of interest accrued and remained unpaid at the end of each accounting year [Rs in Crore]",,"no undrawn limit disclosed. CARE press release 29-Mar-2025 (downgraded to CARE D): ""The liquidity position of the company remains stretched with free cash and bank balance to the tune of Rs 56.28 crore as on September 30, 2024"" and BHSL ""is expected to default on its Rs 268 crore OCD instalment"". No unutilised working-capital limits are stated.",BUFFER_1d,true
BHS,FY2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/a8acef1e-f9a0-41aa-b902-cdcd412f64ad.pdf,2024-05-31,p171 P&L; p170 BS; p172 CF (BSE AR 2024),,,1.48,0.18,nil,nil,1.66,3583.85,nil,3585.51,1.50,0.16,nil,nil,0.16,6076.56,,4954.61,1.36,crore,false,standalone,nil,due_date,48.15,nil,nil,6185.27,212.87,155.7,3,current_investments_absent_treated_nil,,materials_consumed,6,six_line_standalone_beyond_appointed_day_caption_value_nil,"The details of amount outstanding to Micro and Small Enterprises based on available information with the company are as under: The amounts remaining unpaid to micro and small suppliers as at the end of the year - Principal 1.50; - Interest 0.16 | The amount of interest paid by the buyer as per the MSMED Act, 2006 - | The amounts of the payments made to micro and small suppliers beyond the appointed day during each accounting year - | The amount of interest due and payable for the year of delay in making payment (which have been paid but beyond the appointed day during the year) but without adding the interest specified under MSMED Act, 2006 - | The amount of interest accrued and remained unpaid at the end of each accounting year [Rs in Crore]",,"no undrawn limit disclosed. CARE press release 29-Mar-2025 (downgraded to CARE D): ""The liquidity position of the company remains stretched with free cash and bank balance to the tune of Rs 56.28 crore as on September 30, 2024"" and BHSL ""is expected to default on its Rs 268 crore OCD instalment"". No unutilised working-capital limits are stated.",,true
NECTAR,FY2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis/131e4ab8-7696-478a-9767-fe12a2d07f77.pdf,2023-08-11,"p49 standalone P&L (total expenses line UNLABELLED - identity confirmed two ways: components sum to 16,075.41 vs printed 16,075.42, and 15,668.48-16,075.42=-406.94 = stated PBT); p48 BS; p51 CF; note 2.10 p58",,,1.59,nil,nil,nil,1.59,317.16,nil,318.75,1.59,,,,0.14,1523.67,,1200.84,3.30,million,false,standalone,,due_date,17.57,nil,0.31,1607.54,59.12,79.48,4,single_cash_line_includes_FDR_and_dividend_accts_no_separate_bank_other_line,0.0,materials_plus_purchases,,,,,,TEXP_CAPTION_ABSENT_DERIVED_TOTAL_VERIFIED,true
NECTAR,FY2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/131e4ab8-7696-478a-9767-fe12a2d07f77.pdf,2024-08-14,"p50 standalone P&L (total expenses UNLABELLED; components sum 16,803.86 vs printed 16,803.85); p49 BS; p52 CF",,,10.86,nil,nil,nil,10.86,408.80,nil,419.66,10.86,,,,0.10,1684.09,,1242.45,3.34,million,false,standalone,,due_date,19.8,nil,0.49,1680.38,60.72,87.14,5,single_cash_line_includes_FDR_and_dividend_accts_no_separate_bank_other_line,0.0,materials_plus_purchases,2,narrative_prose_principal_and_s16_interest_only,"NARRATIVE, not a table: ""The principal amount remaining unpaid as at 31st March 2024 in respect of enterprises covered under the Micro, Small and Medium Enterprises Development Act, 2006 are ` 108.62 million (as reported in the FY2025 comparative). The interest amount computed based on the provisions under Section 16 of the MSMED Act of ` 0.96 million (as reported in the FY2025 comparative) remains unpaid."" NO ""beyond the appointed day"" caption of any kind.",,,TEXP_CAPTION_ABSENT_DERIVED_TOTAL_VERIFIED,true
JPA,FY2022,https://www.bseindia.com/xml-data/corpfiling/AttachHis/2530db38-6786-410c-a30e-f0cd94636f9e.pdf,2022-09-01,p157 standalone P&L; p156 BS; p158 CF (BSE AR 2022). Current investments line present and nil.,,,46.17,8.68,1.38,1.75,57.98,1558.64,9.39,1626.01,57.98,3.58,nil,nil,3.58,4220.06,,1526.9,0.91,lakh,false,standalone,nil,transaction_date,233.16,157.93,nil,5827.8,385.72,904.32,31,all_disclosed,7.41,materials_plus_purchases,,,,,,SCOPE_BREAK_DISCONTINUED_OPS_FY23,true
JPA,FY2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis/2530db38-6786-410c-a30e-f0cd94636f9e.pdf,2023-09-08,"p162 standalone P&L (CONTINUING OPERATIONS ONLY); p160 BS; p163 CF (total operations). SCOPE BREAK: FY2022 comparative in this report is restated to continuing-ops only (revenue 296,741 vs 422,006 as originally filed); bottom line unchanged at (123,188). Not comparable with the FY2022 row.",,,18.02,1.63,0.75,0.75,21.15,1661.01,9.39,1691.55,21.15,5.93,nil,nil,5.93,3954.68,,1175.73,0.78,lakh,false,standalone,nil,transaction_date,187.23,62.05,nil,4655.7,,885.91,,all_disclosed,0.0,materials_plus_purchases,,,,,,DEP_MISMATCH pl=23525.0 cf=36605.0|SCOPE_BREAK_DISCONTINUED_OPS_FY23,true
BGL,FY2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ea28604a-cd61-4d37-bf3e-55a2e9acbaf7.pdf,2024-07-17,"comparative column in FY24 report: Note 23 trade payables + ageing, report p.124 (both years shown in the FY24 report); MSMED Note 32.2 p.128",nil,1.16,0.30,nil,nil,nil,1.46,130.63,nil,132.09,1.50,nil,9.21,,0.02,766.37,,416.42,,lakh,true,standalone,0.01,due_date,0.06,6.54,nil,757.53,20.07,17.08,3,current_investments_absent_treated_nil,,materials_consumed,7,seven_line_incl_unpaid_beyond_45_days,"(i) Principal amount remaining unpaid to any supplier as at the end of the accounting year 149.97 | (ii) Principal amount remaining unpaid beyond 45 days to any supplier as at the end of the accounting year 8.46 | (iii) Interest due thereon remaining unpaid - | (iv) The amount of principal paid beyond the appointed day 920.62 | (v) The amount of interest due and payable for the year 1.41 | (vi) The amount of interest accrued and remaining unpaid at the end of the accounting year 2.37 | (vii) The amount of further interest due and payable even in the succeeding year - [Rs in Lakhs, note 32.2, AR FY2024 comparative]",28.55,"AR FY2024 note ""undrawn borrowing facilities"", fund-based cash credit/packing credit expiring within one year (2854.79 lakh).",,true
BGL,FY2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/ea28604a-cd61-4d37-bf3e-55a2e9acbaf7.pdf,2024-07-17,"Note 23 trade payables + ageing, report p.124 (both years shown in the FY24 report); MSMED Note 32.2 p.128",nil,6.80,3.83,0.02,nil,nil,10.64,110.66,nil,121.30,10.92,nil,3.20,,0.02,663.05,,342.51,,lakh,true,standalone,nil,due_date,2.06,7.02,nil,679.55,22.55,17.48,5,current_investments_absent_treated_nil,,materials_consumed,7,seven_line_incl_unpaid_beyond_45_days,"(i) Principal amount remaining unpaid to any supplier as at the end of the accounting year 1091.96 | (ii) Principal amount remaining unpaid beyond 45 days to any supplier as at the end of the accounting year 78.19 | (iii) Interest due thereon remaining unpaid - | (iv) The amount of principal paid beyond the appointed day 319.93 | (v) The amount of interest due and payable for the year - | (vi) The amount of interest accrued and remaining unpaid at the end of the accounting year 2.37 | (vii) The amount of further interest due and payable even in the succeeding year - [Rs in Lakhs, note 32.2]",22.47,"AR FY2025 note ""The Company had access to following undrawn borrowing facilities"": fund-based cash credit/packing credit expiring within one year. Non-fund-based LC/BG of 1936.95 (FY25) / 2158.26 (FY24) lakh excluded as not cash liquidity.",,true
PRECAM_C,FY2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis/9246f059-4ee2-4078-a6db-96309ea76488.pdf,2023-07-03,"FY2023 report: standalone P&L p.152; standalone BS p.151. NOTE ON P&L FORMAT: this company presents Total expenses (II) ABOVE the EBITDA subtotal, so it EXCLUDES finance costs and depreciation. total_expenses_includes_dep_fin=false and the cash-buffer denominator uses Total expenses as printed WITHOUT subtracting dep/fin (subtracting would double-count). Depreciation cross-checked against Note 27 Total depreciation and amortisation expense rather than the cash flow statement, which discloses only Depreciation on ROU asset separately.",nil,13.94,0.44,nil,nil,nil,14.38,77.03,nil,91.41,,,,,,626.34,,222.01,,lakh,true,standalone,,due_date,5.44,41.87,171.14,536.35,36.35,3.72,149,all_disclosed,,materials_consumed,due_unpaid|due_on_payments_beyond_appointed_day|accrued_unpaid,tabular,(i) Principal amount remaining unpaid to any supplier as at the end of the accounting year | (ii) Interest due thereon remaining unpaid | (iii) Interest paid by the Company in terms of section 16 of the MSMED Act along with the amounts of the payment made to the supplier beyond the appointed day | (iv) Interest due and payable for the period of delay | (v) Interest accrued and remaining unpaid | (vi) Further interest remaining due and payable,,"no undrawn quantum disclosed. CARE press release 28-Oct-2024: ""Average of maximum utilisation of working capital limits, over the 12 months through August 31, 2024, was 85%""; liquidity assessed Strong on ""liquid investments in mutual funds of Rs 225.03 crore and free cash and bank balance of Rs 88.84 crore as on March 31, 2024"". Limit size not stated, so no undrawn figure can be recorded.",,false
PRECAM_C,FY2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/9246f059-4ee2-4078-a6db-96309ea76488.pdf,2024-07-03,"FY2024 report: standalone P&L p.165; standalone BS p.164; depreciation cross-checked to Note 27 p.193. NOTE ON P&L FORMAT: this company presents Total expenses (II) ABOVE the EBITDA subtotal, so it EXCLUDES finance costs and depreciation. total_expenses_includes_dep_fin=false and the cash-buffer denominator uses Total expenses as printed WITHOUT subtracting dep/fin (subtracting would double-count). Depreciation cross-checked against Note 27 Total depreciation and amortisation expense rather than the cash flow statement, which discloses only Depreciation on ROU asset separately.",nil,11.69,0.22,nil,nil,nil,11.91,69.87,nil,81.78,,,,,,674.62,,216.2,,lakh,true,standalone,,due_date,10.79,43.86,218.25,560.63,40.23,4.61,178,all_disclosed,,materials_consumed,due_unpaid|due_on_payments_beyond_appointed_day|accrued_unpaid,tabular,(i) Principal amount remaining unpaid to any supplier as at the end of the accounting year | (ii) Interest due thereon remaining unpaid | (iii) Interest paid by the Company in terms of section 16 of the MSMED Act along with the amounts of the payment made to the supplier beyond the appointed day | (iv) Interest due and payable for the period of delay | (v) Interest accrued and remaining unpaid | (vi) Further interest remaining due and payable,,"no undrawn quantum disclosed. CARE press release 28-Oct-2024: ""Average of maximum utilisation of working capital limits, over the 12 months through August 31, 2024, was 85%""; liquidity assessed Strong on ""liquid investments in mutual funds of Rs 225.03 crore and free cash and bank balance of Rs 88.84 crore as on March 31, 2024"". Limit size not stated, so no undrawn figure can be recorded.",,false
RICO_C,FY2023,https://www.bseindia.com/xml-data/corpfiling/AttachHis/5b4a13b9-f698-4227-ab81-9ce3199ea748.pdf,2024-09-04,comparative column in FY24 report: Note 22 trade payables + ageing schedule (both years in the FY24 report). under-1-yr = '<6 months' + '6 months-1 year' summed,nil,13.95,4.95,nil,nil,nil,18.90,330.81,nil,349.71,,,,,,1873.31,,1077.38,,crore,true,standalone,,due_date,4.2,15.23,45.3,1835.53,96.5,43.42,14,all_disclosed,,materials_consumed,5,five_line_a_to_e_no_standalone_principal_beyond_appointed_day,"(a) The principal amount remaining unpaid to any supplier as at the end of the year 17.84 | (b) The interest due on principal amount remaining unpaid to any supplier as at the end of the year - | (c) The amount of interest paid by the buyer in terms of section 16 of the MSMED Act 2006 alongwith the amounts of the payments made to the supplier beyond the appointed day during each accounting year 0.31 | (d) Amount of interest due and payable for the period of delay in making payment (which have been paid but beyond the appointed day during the year) but without adding the interest specified under the MSMED Act - | (e) Amount of Interest accrued and remaining unpaid at the end of the year - [Rs in crores, note 44B]",,,,true
RICO_C,FY2024,https://www.bseindia.com/xml-data/corpfiling/AttachHis/5b4a13b9-f698-4227-ab81-9ce3199ea748.pdf,2024-09-04,Note 22 trade payables + ageing schedule (both years in the FY24 report). under-1-yr = '<6 months' + '6 months-1 year' summed,nil,15.65,7.64,nil,nil,nil,23.29,320.71,nil,344.00,,,,,,1653.06,,909.2,,crore,true,standalone,,due_date,2.76,11.9,47.15,1639.37,103.85,45.51,15,all_disclosed,,materials_consumed,5,five_line_a_to_e_no_standalone_principal_beyond_appointed_day,"(a) The principal amount remaining unpaid to any supplier as at the end of the year 23.29 | (b) The interest due on principal amount remaining unpaid to any supplier as at the end of the year - | (c) The amount of interest paid by the buyer in terms of section 16 of the MSMED Act 2006 alongwith the amounts of the payments made to the supplier beyond the appointed day during each accounting year - | (d) Amount of interest due and payable for the period of delay in making payment (which have been paid but beyond the appointed day during the year) but without adding the interest specified under the MSMED Act - | (e) Amount of Interest accrued and remaining unpaid at the end of the year - [Rs in crores, note 44B]",,,,true
